lon,lat
-107.32478,39.55054
-107.81229,37.93749
-106.3742,39.64026
-105.76306,39.89165
-107.00976,37.26945
-111.7103,35.33089
-110.75982,32.43869
-112.1922,35.21502
-109.45855,34.00952
-69.88231,45.05868
-67.86611,46.51538
-69.59058,45.45949
-70.55088,44.55366
-69.06478,44.20979
-69.71938,44.76504
-68.91337,44.81007
-68.58949,47.25865
-70.23117,44.09785
-70.6509,44.3184
-68.28641,45.36006
-69.38338,44.78251
-70.8095,43.23453
-68.01586,46.68115
-70.64271,44.96568
-70.71287,44.0548
-70.26169,45.0736
-70.78858,44.48842
-70.15122,44.6705
-72.86982,42.62786
-72.92732,42.18065
-71.14477,42.15843
-73.24538,42.45008
-73.36201,42.19598
-72.59197,42.54247
-73.32372,42.54314
-73.20369,42.71202
-71.43784,42.57926
-73.09197,42.19302
-71.07728,42.7762
-71.71285,42.29593
-71.8773,42.4487
-71.20948,43.58521
-72.33787,43.37286
-71.23429,44.07389
-71.1851,44.14626
-71.44119,44.25812
-71.68613,44.14825
-71.49952,43.95007
-71.1284,44.05368
-71.92452,43.00314
-72.15592,43.80951
-71.6473,43.44424
-72.27814,42.93369
-71.40674,43.54758
-71.6603,44.05139
-71.08812,43.86063
-71.62144,44.03597
-71.45479,42.99564
-71.77012,44.30616
-71.56925,44.48892
-72.08786,43.38757
-71.82229,43.17983
-71.86175,43.52563
-71.39653,43.75511
-72.25176,43.64229
-71.68815,43.75702
-72.14398,43.64064
-71.49952,43.95007
-71.25301,44.25753
-71.52726,41.5176
-72.44398,43.13341
-72.85032,44.42099
-72.89788,43.2298
-71.94046,44.58907
-72.99241,44.40531
-72.37787,43.86646
-73.08356,44.81071
-72.85185,42.9389
-72.46024,44.96493
-72.80299,43.6174
-72.55787,42.85092
-72.00007,44.54531
-72.87566,44.20744
-72.80649,43.22646
-72.84123,43.92612
-72.85185,42.9389
-72.70061,43.39587
-72.84251,43.66215
-72.72196,43.53543
-72.41861,43.64623
